# 国家地名信息库·地名读音
# https://dmfw.mca.gov.cn/sound.html
#
# 地名	类型	读音
# standardName	placeType	romanAlphabetSpelling

苑庄	农村居民点	Yuànzhuāng
大隘岭	山	Dà'àilǐng
大众巷	支路	Dàzhòng Xiàng
柳树行	农村居民点	Liǔshùháng / Liǔshùhàng
羊马村老屋下	农村居民点	Yángmǎcūnlǎowūxià
西门村	农村居民点	Xīméncūn
赤竹坑	农村居民点	Chìzhúkēng
段峪	农村居民点	Duànyù
始建镇	乡级行政区	Shǐjiàn Zhèn
挂角山	农村居民点	Guàjiǎoshān
高李庄村民委员会	村民委员会	Gāolǐzhuāng Cūnmínwěiyuánhuì
板岭	农村居民点	Bǎnlǐng
大化镇	乡级行政区	Dàhuà Zhèn
上大窑沟	农村居民点	Shàngdàyáogōu
围龙垇	农村居民点	Wéilóng'ào
军工村村民委员会	村民委员会	Jūngōngcūn Cūnmínwěiyuánhuì
郭老家	农村居民点	Guōlǎojiā
五家头	农村居民点	Wǔjiātóu
松燕村民委员会	村民委员会	Sōngyàn Cūnmínwěiyuánhuì
街北岗	农村居民点	Jiēběigǎng
高坡村村民委员会	村民委员会	Gāopōcūn Cūnmínwěiyuánhuì
下山竂	农村居民点	Xiàshānliáo
丛头山	农村居民点	Cóngtóushān
上坝莲蓬塘	农村居民点	Shàngbàliánpéngtáng
何东窝	农村居民点	Hédōngwō
毛家巷	支路	Máojiā Xiàng
上垱子	农村居民点	Shàngdàngzǐ
下宋村民委员会	村民委员会	Xiàsòng Cūnmínwěiyuánhuì
丁楼	农村居民点	Dīnglóu
双汇巷	支路	Shuānghuì Xiàng
嶂顶里	农村居民点	Zhàngdǐnglǐ
碱地村民委员会	村民委员会	Jiǎndì Cūnmínwěiyuánhuì
战备坑	农村居民点	Zhànbèikēng
株洲路五胡同	支路	Zhūzhōulù 5 Hútóng
樵峪寺	农村居民点	Qiáoyùsì
乌云崠	山	Wūyún Dōng
姜楼村民委员会	村民委员会	Jiānglóu Cūnmínwěiyuánhuì
石盒子	农村居民点	Shíhézǐ
慈航镇	乡级行政区	Cíháng Zhèn
株洲路四胡同	支路	Zhūzhōulù 4 Hútóng
白石背	农村居民点	Báishíbèi
官口	农村居民点	Guānkǒu
巴藏	农村居民点	Babtshang
淘沙塘巷	支路	Táoshātáng Xiàng
黑龙滩镇	乡级行政区	Hēilóngtān Zhèn
滴水寨	山	Dīshuǐ Zhài
叶家村	农村居民点	Yèjiācūn
土地庙巷	支路	Tǔdìmiào Xiàng
新山寮	农村居民点	Xīnshānliáo
南杨楼村民委员会	村民委员会	Nányánglóu Cūnmínwěiyuánhuì
奁田	农村居民点	Liántián
富民大道	支路	Fùmín Dàdào
战坑	农村居民点	Zhànkēng
官口新农村	农村居民点	Guānkǒuxīnnóngcūn
报本庄	农村居民点	Bàoběnzhuāng
钟屋坪	农村居民点	Zhōngwūpíng
下坤江	农村居民点	Xiàkūnjiāng
民富巷	支路	Mínfù Xiàng
桐籽凹	农村居民点	Tóngzǐ'wā
赖屋坑	农村居民点	Làiwūkēng
长建	农村居民点	Chángjiàn
下仚	农村居民点	Xiàxiān
萝卜坑	农村居民点	Luóbokēng / Luóbǔkēng
易家河村民委员会	村民委员会	Yìjiāhé Cūnmínwěiyuánhuì
红家边	农村居民点	Hóngjiābiān
拉哈喀	农村居民点	Lagakha
下大夫	农村居民点	Xiàdàifū
谢店村民委员会	村民委员会	Xièdiàn Cūnmínwěiyuánhuì
马脚下	农村居民点	Mǎjiǎoxià
罗家排	农村居民点	Luójiāpái
窑前塘	农村居民点	Yáoqiántáng
朱台村民委员会	村民委员会	Zhūtái Cūnmínwěiyuánhuì
蚕坡岭	农村居民点	Cánpōlǐng
银河寺村民委员会	村民委员会	Yínhésì Cūnmínwěiyuánhuì
快乐巷	支路	Kuàilè Xiàng
代古	山体	Degab
袁牌坊村民委员会	村民委员会	Yuánpáifáng Cūnmínwěiyuánhuì
团飘里	农村居民点	Tuánpiāolǐ
石海村民委员会	村民委员会	Shíhǎi Cūnmínwěiyuánhuì
邓家营	农村居民点	Dèngjiāyíng
热爱村村民委员会	村民委员会	Rè'àicūncūn Mínwěiyuánhuì
杨丰背	农村居民点	Yángfēngbèi
下张家老屋	农村居民点	Xiàzhāngjiālǎowū
驼背岽	山	Tuóbèi Dōng
黄渡村民委员会	村民委员会	Huángdù Cūnmínwěiyuánhuì
九斗村村民委员会	村民委员会	Jiǔdòucūn Cūnmínwěiyuánhuì
朋江	农村居民点	Péngjiāng
上者拉	农村居民点	Shàngzhělā
竹林梁子	山峰	Zhúlín Liángzǐ
营立村	农村居民点	Yínglìcūn
柏树北路	支路	Bóshùběi Lù
石梁陶家	农村居民点	Shíliángtáojiā
喀碑囊	山谷、谷地	Kābēináng
半坡梁子	山峰	Bànpō Liángzǐ
六腊母	农村居民点	Liùlàmǔ
娘达村	农村居民点	Niángdácūn
东王楼	农村居民点	Dōngwánglóu
马官垭社区居民委员会	社区居委会（居委会）	Mǎguānyā Shèqū Jūmínwěiyuánhuì
旧城	农村居民点	Jiùchéng
纳合下尔	山谷、谷地	Nàhéxià'ěr
石坑油槽	农村居民点	Shíkēngyóucáo
坝么	农村居民点	Bàme
澄江村村民委员会	村民委员会	Chéngjiāngcūn Cūnmínwěiyuánhuì
石梁王家	农村居民点	Shíliángwángjiā
久洞隆	山谷、谷地	Jiǔdònglóng
文章排	农村居民点	Wénzhāngpái
梨儿坳	农村居民点	Lí'ér'ào
哈库尔央哈	山谷、谷地	Hàkù'ěryānghā
都天路	支路	Dōutiān Lù
哈波	农村居民点	Hābō
莫美村民委员会	村民委员会	Mòměi Cūnmín Wěiyuánhuì
恰维囊	山谷、谷地	Qiàwéináng
城门边	农村居民点	Chéngménbiān
底尼大村	农村居民点	Dǐnídàcūn
烧坊湾	农村居民点	Shāofāngwān / Shāofángwān
脚龙	农村居民点	Jiǎolóng
杂得尕玛	山峰	Zádégǎmǎ
洒树口上村	农村居民点	Sǎshùkǒushàngcūn
中夏庄	农村居民点	Zhōngxiàzhuāng
伟三	农村居民点	Wěisān
春江村村民委员会	村民委员会	Chūnjiāngcūn Cūnmínwěiyuánhuì
加昔囊	山谷、谷地	Jiāxīnáng
后石罢	农村居民点	Hòushíbà
簸箕冲	农村居民点	Bòjīchōng
英腊村民委员会	村民委员会	Yīnglà Cūnmínwěiyuánhuì
烧盆窑	农村居民点	Shāopényáo
江村街社区居民委员会	社区居委会（居委会）	Jiāngcūnjiē Shèqū Jūmínwěiyuánhuì
磻曲村	农村居民点	Bōqǔcūn
冷水坑	山谷、谷地	Lěngshuǐkēng
伟术	农村居民点	Wěishù
郊给囊	山谷、谷地	Jiāogěináng
洒树口	农村居民点	Sǎshùkǒu
心田	农村居民点	Xīntián
大庄村民委员会	村民委员会	Dàzhuāng Cūnmínwěiyuánhuì / Ri Chen Nang Sdedmangsuyonlhankhang / Dà Zhuāng Cūnmínwěiyuánhuì
棚曲村	农村居民点	Péngqǔcūn
塘坑俚	农村居民点	Tángkēnglǐ
班弄村民委员会	村民委员会	Bānnòng Cūnmínwěiyuánhuì
圪垛沟	山谷、谷地	Gēduǒ Gōu
莱果尔热	山峰	Laiguǒ'ěrrè
罗石村	农村居民点	Luóshícūn
油洲	农村居民点	Yóuzhōu
拉琼	山谷、谷地	Lāqióng / Láqióng
东庞村民委员会	村民委员会	Dōngpáng Cūnmínwěiyuánhuì
土地沟	山谷、谷地	Tǔdì Gōu
俄日隆	山谷、谷地	Érìlóng
老凹林	农村居民点	Lǎowālín
田洞心村	农村居民点	Tiándòngxīncūn
核丰塘	农村居民点	Héfēngtáng
班岳村民委员会	村民委员会	Bānyuè Cūnmínwěiyuánhuì
南经庄村	农村居民点	Nánjīngzhuāngcūn
瑟雅囊	山谷、谷地	Sèyǎnáng
施嘎	农村居民点	Shīgā
桑尺隆洼	山谷、谷地	Sāngchǐlóngwā
简口山	山	Jiǎnkǒu Shān
甲依	农村居民点	Jiǎyī
孟曼	农村居民点	Mèngmàn
英侯村民委员会	村民委员会	Yīnghóu Cūnmínwěiyuánhuì
樟天龙	农村居民点	Zhāngtiānlóng
南罗久邑村	农村居民点	Nánluójiǔyìcūn
麻江	农村居民点	Májiāng
乎达思	山谷、谷地	Hūdásī
南星登村	农村居民点	Nánxīngdēngcūn
棠左	农村居民点	Tángzuǒ
沙里堎	农村居民点	Shālǐlèng
杂曲它隆囊	山谷、谷地	Záqūtālóngnáng
康家梁村	农村居民点	Kāngjiāliángcūn
南磻上登村	农村居民点	Nánbōshàngdēngcūn
小龙门社区居民委员会	社区居委会（居委会）	Xiǎolóngmén Shèqū Jūmínwěiyuánhuì
莫各顶	农村居民点	Mògèdǐng
李雄坡	农村居民点	Lǐxióngpō
旁同	农村居民点	Pángtóng
增庄老居	农村居民点	Zēngzhuānglǎojū
齐心村村民委员会	村民委员会	Qíxīncūn Cūnmínwěiyuánhuì
让雄嫂隆囊	山谷、谷地	Ràngxióngsǎolóngnáng
吾洼得	山谷、谷地	Wúwādé
岩家洼	农村居民点	Yánjiāwā
莫撒米	农村居民点	Mòsāmǐ
贝靠曲	河流	Bèikàoqū
工业区北二路	支路	Gōngyèqū Běi 2 Lù
沙里岭	农村居民点	Shālǐlǐng
鲁车	农村居民点	Lǔchē
后屋	农村居民点	Hòuwū
新街大寨	农村居民点	Xīnjiēdàzhài
永广村民委员会	村民委员会	Yǒngguǎng Cūnmínwěiyuánhuì
豇豆沟	农村居民点	Jiāngdòugōu
达隆隆洼	山谷、谷地	Dálónglóngwā
罗桂路	支路	Luóguì Lù
南磻下登村	农村居民点	Nánbōxiàdēngcūn
炮台街社区居民委员会	社区居委会（居委会）	Pàotáijiē Shèqū Jūmínwěiyuánhuì
窝羊村民委员会	村民委员会	Wōyáng Cūnmínwěiyuánhuì
观前路	支路	Guānqián Lù
魏河	农村居民点	Wèihé
埂上曹家	农村居民点	Gěngshàngcáojiā
小洞村村民委员会	村民委员会	Xiǎodòngcūn Cūnmínwěiyuánhuì
埃洞新寨	农村居民点	Āidòngxīnzhài
者拉田心	农村居民点	Zhělātiánxīn
上坛富	农村居民点	Shàngtánfù
大路沟	农村居民点	Dàlùgōu
纳么隆	山谷、谷地	Nàmǒlóng
埃洞塔甫	农村居民点	Āidòngtǎfǔ
九贤村民委员会	村民委员会	Jiǔxián Cūnmínwěiyuánhuì
上中坑	农村居民点	Shàngzhōngkēng
中课村民委员会	村民委员会	Zhōngkè Cūnmínwěiyuánhuì
对门寨	农村居民点	Duìménzhài
庙子	农村居民点	Miàozǐ
西侯沟	农村居民点	Xīhóugōu
年哈卧勒	山谷、谷地	Niánhāwòlè
陆家垅社区居民委员会	社区居委会（居委会）	Lùjiālǒng Shèqū Jūmínwěiyuánhuì
濠溪路	次干路	Háoxī Lù
掘山村民委员会	村民委员会	Juéshān Cūnmínwěiyuánhuì
老林屋	农村居民点	Lǎolínwū
舒家后坊	农村居民点	Shūjiāhòufāng
代格拉村民委员会	村民委员会	Dàigélā Cūnmínwěiyuánhuì
大楼社区居民委员会	社区居委会（居委会）	Dàlóu Shèqūjūmínwěiyuánhuì
堑山	农村居民点	Qiànshān
哲乡	山峰	Zhéxiāng
酒务	农村居民点	Jiǔwù
埃洞普马	农村居民点	Āidòngpǔmǎ
鸦鹊湖	农村居民点	Yāquèhú
阿莫村民委员会	村民委员会	Āmò Cūnmínwěiyuánhuì
青次哈尔格	山峰	Qīngcìhǎ'ěrgé
西晒衣	农村居民点	Xīshàiyī
马甲邑村	农村居民点	Mǎjiǎyìcūn
永不落村民委员会	村民委员会	Yǒngbúluò Cūnmínwěiyuánhuì
睦联坡沟	山谷、谷地	Mùliánpō Gōu
塔玛隆根	山谷、谷地	Tǎmǎlónggēn
戴家坡	农村居民点	Dàijiāpō
南头沟	山谷、谷地	Nántóu Gōu
范屋	农村居民点	Fànwū
科隆	山谷、谷地	Kēlóng
嘎娄村民委员会	村民委员会	Gālóu Cūnmínwěiyuánhuì
爬别虾红	农村居民点	Pábiéxiāhóng
马丑山	农村居民点	Mǎchǒushān
满曲新村	农村居民点	Mǎnqǔxīncūn
对坡村	农村居民点	Duìpōcūn
九靛池	农村居民点	Jiǔdiànchí
班箐村民委员会	村民委员会	Bānqìng Cūnmínwěiyuánhuì
米总村	农村居民点	Mǐzǒngcūn
虾则	农村居民点	Xiāzé
马丑山垭口	农村居民点	Mǎchǒushānyākǒu
白果树下	农村居民点	Báiguǒshùxià / báiguǒshùxià
艾隆	山谷、谷地	Àilóng
洲村	农村居民点	Zhōucūn
窝笼村民委员会	村民委员会	Wōlóng Cūnmínwěiyuánhuì
南梁上	农村居民点	Nánliángshàng
崖望	农村居民点	Yáwàng
打木湾	农村居民点	Dǎmùwān
阴赵寨	农村居民点	Yīnzhàozhài
图地村民委员会	村民委员会	Túdì Cūnmínwěiyuánhuì
前姚岗	农村居民点	Qiányáogǎng
罗者村	农村居民点	Luózhěcūn
南坊头	农村居民点	Nánfāngtóu
斋婆窝	农村居民点	Zhāipówō
金桥村黄洼曹家	农村居民点	Jīnqiáocūnhuángwācáojiā
包圪垱	农村居民点	Bāogēdàng
蕉树湾	农村居民点	Jiāoshùwān
王雅村民委员会	村民委员会	Wángyǎ Cūnmínwěiyuánhuì
南坊罗家	农村居民点	Nánfāngluójiā
旗鼓山	农村居民点	Qígǔshān
白马洞村村民委员会	村民委员会	Báimǎdòngcūn Cūnmínwěiyuánhuì
柯次尔贡玛	山谷、谷地	Kēcì'ěrgòngmǎ
莲花曲村	农村居民点	Liánhuāqǔcūn
骑马梁子	山峰	Qímǎ Liángzǐ
雪山路	主干路	Xuěshān Lù
泥湖岭	农村居民点	Níhúlǐng
棉麻路	次干路	Miánmá Lù
猫儿屋基	农村居民点	Māo'érwūjī
黑尼顶	农村居民点	Hēinídǐng
科头沟	山谷、谷地	Kētóu Gōu
陈河	农村居民点	Chénhé
军屯村民委员会	村民委员会	Jūntún Cūnmínwěiyuánhuì
哈巴梁子	山峰	Hābā Liángzǐ
门陂	农村居民点	Ménpō
黑山洼沟	山谷、谷地	Hēishānwā Gōu
门庄村民委员会	村民委员会	Ménzhuāng Cūnmínwěiyuánhuì
小袁寨	农村居民点	Xiǎoyuánzhài
碧落北路	次干路	Bìluòběi Lù
岳宋村民委员会	村民委员会	Yuèsòng Cūnmínwěiyuánhuì
爬别	农村居民点	Pábié
公园路	支路	Gōngyuán Lù / Kyiling Lam
邱家角	农村居民点	Qiūjiājiǎo
左格隆洼	山谷、谷地	Zuǒgélóngwā
滨江路	次干路	Bīnjiāng Lù
抓抓石	农村居民点	Zhuāzhuāshí
曼亨村民委员会	村民委员会	Mànhēng Cūnmínwěiyuánhuì
黑母云岭岗	农村居民点	Hēimǔyúnlǐnggǎng
万坊安居小区	农村居民点	Wànfāng Ānjū Xiǎoqū
芦家山	农村居民点	Lújiāshān
千里屋	农村居民点	Qiānlǐwū
哈加嘎达	农村居民点	Hājiāgādá
果赛尔	山谷、谷地	Guǒsài'ěr
班帅村民委员会	村民委员会	Bānshuài Cūnmínwěiyuánhuì
白草塔村	农村居民点	Báicǎotǎcūn
车脑上	农村居民点	Chēnǎoshàng
永宝参木康	山峰	Yǒngbǎocānmùkāng
彭家窑	农村居民点	Péngjiāyáo
黑母云平地	农村居民点	Hēimǔyúnpíngdì
罗圪垱	农村居民点	Luógēdàng
琼果恰热	山峰	Qióngguǒqiàrè
大榆树沟	农村居民点	Dàyúshùgōu
他得母	农村居民点	Tādémǔ
东石桥小区	农村居民点	Dōngshíqiáoxiǎoqū
勐梭社区居民委员会	社区居委会（居委会）	Měngsuō Shèqūjūmínwěiyuánhuì
桑尺间	山谷、谷地	Sāngchǐjiàn / Sāngchǐjiān
杏树窝	农村居民点	Xìngshùwō
富顺岩	农村居民点	Fùshùnyán
黄庄小区	农村居民点	Huángzhuāngxiǎoqū
下坝口	农村居民点	Xiàbàkǒu
塔地沟	山谷、谷地	Tǎdì Gōu
二榆树沟	农村居民点	Èryúshùgōu
和善庄	农村居民点	Héshànzhuāng
董圪垱	农村居民点	Dǒnggēdàng
旱海卜子	农村居民点	Hànulaannuur
凹子	农村居民点	Wāzǐ
木口沟	山谷、谷地	Mùkǒu Gōu
哲么隆洼	山谷、谷地	Zhémǒlóngwā
石市村民委员会	村民委员会	Shíshì Cūnmínwěiyuánhuì
呼和察布	农、林、牧场点	Hoh Qab
胡家屋基	农村居民点	Hújiāwūjī
蘑菇滩村民委员会	村民委员会	Mógūtān Cūnmínwěiyuánhuì
栋子上	农村居民点	Dòngzǐshàng
众田河	河流	Zhòngtián Hé
程家屋场	农村居民点	Chéngjiāwūchǎng
纱帽盈	农村居民点	Shāmàoyíng
土墙垭	农村居民点	Tǔqiángyà
五房沟	农村居民点	Wǔfánggōu
轩皇庙	农村居民点	Xuānhuángmiào
敖包图浑迪	山谷、谷地	Ôbôôt Hondei
上毛坞新农村	农村居民点	Shàngmáowùxīnnóngcūn
昌煌嘎查委员会	村民委员会	Qɑmhɑɡ Gɑqɑɑ Wěiyuánhuì
明山湾	农村居民点	Míngshānwān
石陂上	农、林、牧场点	Shípōshàng
摧沼铁	农村居民点	Cuīzhǎotiě
乃日音希热浩特	农村居民点	Nairin Xiree Hôt
新立嘎查	村民委员会	Xīnlì Gaqaa
尹狮坳	农村居民点	Yǐnshī'ào
芒洋	农村居民点	Mángyáng
上房村民委员会	村民委员会	Shàngfáng Cūnmínwěiyuánhuì
上童	农村居民点	Shàngtóng
通史嘎查委员会	村民委员会	Tonɡshi Gɑqɑɑ Wěiyuánhuì
杨家湾里	农村居民点	Yángjiāwānlǐ
咀头屋	农村居民点	Zuītóuwū
西山嶂	山峰	Xīshān Zhàng
大江	农村居民点	Dàjiāng
石垱里	农、林、牧场点	Shídànglǐ
惹同达	农村居民点	Rětóngdá
大屋上	农村居民点	Dàwūshàng
乌兰呼特勒	山	Ûlaan Hotol
呼和塔拉农业社	农村居民点	Hohtal Nóngyèshè
三菜庄	农村居民点	Sāncàizhuāng
芒转	农村居民点	Mángzhuǎn
锁匙湾	农村居民点	Suǒshiwān
毓英屋	农村居民点	Yùyīngwū
吊磜	山峰	Diàoqì
两路乡	乡级行政区	Liǎnglù Xiāng
白鹤	农村居民点	Báihè
大坪坳	农村居民点	Dàpíng'ào
碑湾	农村居民点	Bēiwān
印子排	农村居民点	Yìnzǐpái
庙子坝	农村居民点	Miàozǐbà
七甲	农村居民点	Qījiǎ
新角旺	农村居民点	Xīnjiǎowàng
伊和乌兰呼特勒	山	Yeh Ûlaan Hotol
桐子窝	农村居民点	Tóngzǐwō
坑严	农村居民点	Kēngyán
芒竜村	农村居民点	Mángnéngcūn
努很苏莫农业社	农村居民点	Nuhen Som Nóngyèshè
莲塘垇	农村居民点	Liántáng'ào / liántángào
望夫岭	农村居民点	Wàngfūlǐng
呼和格日嘎查	村民委员会	Hoh Ger Gaqaa
帅家坝	农村居民点	Shuàijiābà
章家背	山峰	Zhāngjiā Bèi
李家弯	农村居民点	Lǐjiāwān
蹇家沟	农村居民点	Jiǎnjiāgōu
风背	农村居民点	Fēngbèi
林竹	农村居民点	Línzhú
压藏自然村	农村居民点	Nyatshang Dewa
腊马河	农村居民点	Làmǎhé
画眉岭	山峰	Huàméi Lǐng
大坵	农村居民点	Dàqiū
哈日陶日木	湖泊	Har Tooiram / Har Tôirôm / Har Toirom
为民村民委员会	村民委员会	Wéimín Cūnmínwěiyuánhuì
童坞	农村居民点	Tóngwù
大龙上	农村居民点	Dàlóngshàng
猫公形	农村居民点	Māogōngxíng
董家店	农村居民点	Dǒngjiādiàn
新华窑上	农村居民点	Xīnhuáyáoshàng
吗毛格	农村居民点	Mámáogé
福竹嘴	农村居民点	Fúzhúzuǐ
查干浩特嘎查	村民委员会	Qagaan Hôt Gaqaa
格尔当自然村	农村居民点	Gurteng Dewa
查干陶勒盖牧业社	农村居民点	Qagantôlgai Mùyèshè
曲拿唵休	农村居民点	Qūná'ǎnxiū
下古塘	农村居民点	Xiàgǔtáng
晒泥坑肖家	农村居民点	Shàiníkēngxiāojiā
巴彦温都尔嘎查	村民委员会	Bayan Ondor Gaqaa
察布淖尔	湖泊	Qab Nûûr
义田	农村居民点	Yìtián
古庵庙	农村居民点	Gǔ'ānmiào
林家垄	农村居民点	Línjiālǒng
萤火村民委员会	村民委员会	Yínghuǒ Cūnmínwěiyuánhuì
巴嘎柴达木牧业社	农村居民点	Bāgācháidámùmùyèshè / Bagqaidam Mùyèshè
下孙庄	农村居民点	Xiàsūnzhuāng
朱木	农村居民点	Zhūmù
汗乃布隆	农、林、牧场点	Haanii Bulan
长尾洲	农村居民点	Chángwěizhōu
窑背排	农村居民点	Yáobèipái
霍日里村村民委员会	村民委员会	Huòrìlǐcūn Cūnmínwěiyuánhuì
古日班乌和斯台	山	Gûrban Uhestai
后港江家	农村居民点	Hòugǎngjiāngjiā
布日汗哈达	农、林、牧场点	Burhan Had
铜锣湖	农村居民点	Tóngluóhú
向东	农村居民点	Xiàngdōng
东海楼	农村居民点	Dōnghǎilóu
上泥坑	农村居民点	Shàngníkēng
电唐自然村	农村居民点	Danthang Dewa
春芽树坪	农村居民点	Chūnyáshùpíng
格尔果自然村	农村居民点	Gargo Dewa
小坪村民委员会	村民委员会	Xiǎopíng Cūnmínwěiyuánhuì / Xiǎopíng Cūnmín Wěiyuánhuì
丙中	农村居民点	Bǐngzhōng
呼特勒乌日腾	沙漠	Hohol Orton
克摩嘎村	农村居民点	Kèmógācūn
聂家洞	农村居民点	Nièjiādòng
小魏庄	农村居民点	Xiǎowèizhuāng
中沙岭	农村居民点	Zhōngshālǐng
坝口刘家	农村居民点	Bàkǒuliújiā
二七北路社区居委会	社区居委会（居委会）	Èrqīběilù Shèqūjūwěihuì
沙子岭	农村居民点	Shāzǐlǐng
上山前	农村居民点	Shàngshānqián
义田象湾	农村居民点	Yìtiánxiàngwān
六尺垭口	农村居民点	Liùchǐyàkǒu
那日图	沙漠	Nart
魁格节村	农村居民点	Kuígéjiēcūn
卢家口头	农村居民点	Lújiākǒutóu
回环	农村居民点	Huíhuán
陶瑞	农、林、牧场点	Tûûrain
夏额坤搜日	山峰	Xiàékūnsōurì
贝勒敖包	山	Beil Ôbôô
队科	农村居民点	Duìkē
晒谷石	农村居民点	Shàigǔshí
公园社区居委会	社区居委会（居委会）	Gōngyuán Shèqūjūwěihuì
靖岗	农村居民点	Jìnggàng
哲里根图浩特	农村居民点	Jeergenet Hôt
天福	农村居民点	Tiānfú
杨庄垄	农村居民点	Yángzhuānglǒng
拉竜	农村居民点	Lānéng
失夫沟	农村居民点	Shīfūgōu
查勒班包搜	山峰	Qalban Bûs
火焰山	山	Huǒyàn Shān
陆家包包上	农村居民点	Lùjiābāobāoshàng
兴溪	农村居民点	Xīngxī
哈日珠如和	山	Har Jurhe
天星坝	农村居民点	Tiānxīngbà
双港西大街	主干路	Shuānggǎng Xīdàjiē
上霄	农、林、牧场点	Shàngxiāo
拉隆格	农村居民点	Lālónggé
山叉窝	农村居民点	Shānchāwō
耳子梁	农村居民点	Ěrzǐliáng
吉田	农村居民点	Jítián
上湖地弄	农村居民点	Shànghúdìnòng
北姚湖	农村居民点	Běiyáohú
仰山殿	农村居民点	Yǎngshāndiàn
芒阮	农村居民点	Mángruǎn
康廊村	农村居民点	Kānglángcūn
马头咀	农村居民点	Mǎtóuzuī / Mǎtóujǔ
上源茶塅	农村居民点	Shàngyuáncháduàn
望里墩张家	农村居民点	Wànglǐdūnzhāngjiā
柳滩乡	乡级行政区	Liǔtān Xiāng
古日本敖包	农、林、牧场点	Gurban Ôbôô
珂里庄村	农村居民点	Kēlǐzhuāngcūn
尧古塘	农村居民点	Yáogǔtáng
卡布楚村村民委员会	村民委员会	Kǎbùchǔcūn Cūnmínwěiyuánhuì
散木檫日茂切自然村	农村居民点	Zamtsharumoche Dewa
高格斯台罕乌拉	山	Gôgôdtai Haan Ûûl
燕田里	农村居民点	Yàntiánlǐ
刘家梁上	农村居民点	Liújiāliángshàng
龙蚕镇	乡级行政区	Lóngcán Zhèn
扇子沟	农村居民点	Shànzǐgōu
阿亚根满哈浩特	农村居民点	Ayagan Manh Hôt
铁砧脑	农村居民点	Tiězhēnnǎo
双港口	农、林、牧场点	Shuānggǎngkǒu
东叶庄	农村居民点	Dōngyèzhuāng
小东山张家	农村居民点	Xiǎodōngshānzhāngjiā
上垅	农村居民点	Shànglǒng
希热	山	Xiree
塔黑勒查干敖包	农、林、牧场点	Tahil Qagan Ôbôô
下周庄	农村居民点	Xiàzhōuzhuāng
大楼上	农村居民点	Dàlóushàng
马儿塘	农村居民点	Mǎ'értáng
寺桥徐村	农村居民点	Sìqiáoxúcūn
和尚垇	山峰	Héshàngào
那养	农村居民点	Nàyǎng
官厅下	农村居民点	Guāntīngxià
塅头	农村居民点	Duàntóu
康海村	农村居民点	Kānghǎicūn
太山新居	农村居民点	Tàishānxīnjū
徐坪	农村居民点	Xúpíng
上长窝	农村居民点	Shàngchángwō
黑林霍布尔敖包	山	Hiliin Hoovoriin Ôbôô
干珠尔古恩尼呼都格	农、林、牧场点	Ganjuuriin Gunnii Hûdag
准浩雅尔呼都嘎浩特	农村居民点	Juun Hôyôr Hûdûg Hôt
桐子树下	农村居民点	Tóngzǐshùxià
恰日自然村	农村居民点	Chare Dewa
角盈村	农村居民点	Jiǎoyíngcūn
罗儿咀	农村居民点	Luó'érzuǐ
迁糯大寨	农村居民点	Qiānnuòdàzhài
三块石	农村居民点	Sānkuàishí
陶恩特	农、林、牧场点	Toont
库木尔肯村村民委员会	村民委员会	Kùmù'ěrkěncūn Cūnmínwěiyuánhuì
布日嘎斯台	山	Bûrgaastai / Bôrgôstai
红山岭	山峰	Hóngshān Lǐng
东溪村白果树下	农村居民点	Dōngxīcūnbáiguǒshùxià
大石桥秦家	农村居民点	Dàshíqiáoqínjiā
巡笕坑	农村居民点	Xúnjiǎnkēng
中霄	农、林、牧场点	Zhōngxiāo
新寸	农村居民点	Xīncùn
夏日哈那	山	Xar Han
前坂上	山峰	Qiánbǎnshàng
高山顶	山峰	Gāoshāndǐng
芒费	农村居民点	Mángfèi
查干高勒音苏莫	农、林、牧场点	Qagan Gôliin Sum
鸭池湾	农村居民点	Yāchíwān
己子拉村	农村居民点	Jǐzǐlācūn
坪子里	农村居民点	Píngzǐlǐ
梁家岗	农村居民点	Liángjiāgǎng
古王集东村	农村居民点	Gǔwángjídōngcūn
邹湾	农村居民点	Zōuwān
西小庙	农村居民点	Xīxiǎomiào
鹦鹉尖	山峰	Yīngwǔjiān
茶园河	河流	Cháyuán Hé
打铁沟	农村居民点	Dǎtiěgōu
音子石	农村居民点	Yīnzǐshí
水磨河	河流	Shuǐmóhé / Shuǐmó Hé
鸭婆桥	农村居民点	Yāpóqiáo
上何家湾	农村居民点	Shànghéjiāwān
胡拉根特音布隆	农、林、牧场点	Hulgantiin Bulan
孙瓦房	农村居民点	Sūnwǎfáng
湾庄	农村居民点	Wānzhuāng
多松多自然村	农村居民点	Dozugdo Dewa
暗窝里	农、林、牧场点	ànwōlǐ
狼洞沟	农村居民点	Lángdònggōu
积善邑村	农村居民点	Jīshànyìcūn
杨泗井	农村居民点	Yángsìjǐng
上毛坦	农村居民点	Shàngmáotǎn
江其	农、林、牧场点	Jangj
超劳敖克其	山峰	Qûlûû Ôgq
走马羊	农村居民点	Zǒumǎyáng
鸡茨坪村	农村居民点	Jīcípíngcūn
萨嘎木音努塔格	农、林、牧场点	Sagamiin Nûtag
黎塘下	农村居民点	Lítángxià
尕丁关自然村	农村居民点	Kadonggo Dewa
文甸	农村居民点	Wéndiàn
罗月庵	农村居民点	Luóyuè'ān
新年坞	农村居民点	Xīnniánwù
苧麻园	农村居民点	Zhùmáyuán
